gene_family,n_loci_in_cds,n_assemblies_in_cds,n_proximal_loci,n_proximal_assemblies,frac_assemblies_proximal,fisher_p_vs_background,hgt_passenger_flag,gene,product,module_bin,consensus_rank_pct_mean,used_in_any_final_set
GF_00454,54,44,3,3,0.0682,0.78133,False,,Uma2 family endonuclease,Other / unassigned,0.6927072812694411,True
GF_00333,255,255,17,17,0.0667,0.5703,False,,NAD-dependent epimerase/dehydratase family protein,Other / unassigned,0.7383549027812277,True
GF_00074,105,105,7,7,0.0667,0.6084,False,lptB,LPS export ABC transporter ATP-binding protein,Transport,0.3382492218571544,True
GF_02178,60,60,4,4,0.0667,0.6415,False,,Lin0512 family protein,Other / unassigned,0.5029499253289632,True
GF_00580,105,105,7,7,0.0667,0.6084,False,,ferredoxin thioredoxin reductase catalytic beta subunit,O2 protection & redox homeostasis,0.4278807206898407,True
GF_02444,290,290,19,19,0.0655,0.56651,False,,form I ribulose bisphosphate carboxylase large subunit,Other / unassigned,0.2459867140861658,True
GF_01606,107,107,7,7,0.0654,0.60833,False,,Fur family transcriptional regulator,Regulation,0.8623380728924922,True
GF_00396,92,92,6,6,0.0652,0.61665,False,clpS,ATP-dependent Clp protease adapter ClpS,Other / unassigned,0.3369595865142422,True
GF_01650,49,46,3,3,0.0652,0.66124,False,,response regulator,Regulation,0.3401445739060049,True
GF_00217,93,93,6,6,0.0645,0.61661,False,,ABC transporter ATP-binding protein,Transport,0.4616038264082002,True
GF_00876,50,47,3,3,0.0638,0.66113,False,,CpeR family transcriptional regulator,Regulation,0.6914788099017628,True
GF_00221,64,63,4,4,0.0635,0.64118,False,folE,GTP cyclohydrolase I FolE,Other / unassigned,0.3018859437496705,True
GF_00533,159,159,10,10,0.0629,0.591,False,ilvN,acetolactate synthase small subunit,Other / unassigned,0.4426954838472993,True
GF_02377,286,271,17,17,0.0627,0.69697,False,ndhI,NAD(P)H-quinone oxidoreductase subunit I,Respiration & bioenergetics,0.2433178731114553,True
GF_00993,80,80,5,5,0.0625,0.62707,False,,methionine gamma-lyase family protein,Other / unassigned,0.3017851950400796,True
GF_02375,272,272,17,17,0.0625,0.63639,False,rpsD,30S ribosomal protein S4,Housekeeping / lineage marker,0.318614941092421,True
GF_00218,161,161,10,10,0.0621,0.59096,False,,phosphoglycerate kinase,Other / unassigned,0.37376083699573,True
GF_00224,243,242,15,15,0.062,0.64448,False,aroC,chorismate synthase,Other / unassigned,0.7462746291813473,True
GF_00451,146,146,9,9,0.0616,0.68188,False,ahcY,adenosylhomocysteinase,Other / unassigned,0.6166161309627999,True
GF_01663,49,49,3,3,0.0612,0.66124,False,ilvB,biosynthetic-type acetolactate synthase large subunit,Other / unassigned,0.6663562954620734,True
GF_01576,55,50,3,3,0.06,0.78118,False,,metallophosphoesterase family protein,Other / unassigned,0.3714784860769584,True
GF_01016,50,50,3,3,0.06,0.66113,False,,hypothetical protein,Stress / membrane / uncharacterized,0.3924320913976324,True
GF_01810,50,50,3,3,0.06,0.66113,False,,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N,O2 protection & redox homeostasis,0.5449522036335332,True
GF_00946,134,134,8,8,0.0597,0.69126,False,,response regulator,Regulation,0.4533686950195105,True
GF_01062,101,101,6,6,0.0594,0.71597,False,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,Stress / membrane / uncharacterized,0.5254579264102406,True
GF_01058,71,51,3,3,0.0588,0.86258,False,cpcA,phycocyanin subunit alpha,Other / unassigned,0.4992653050748269,True
GF_00036,136,136,8,8,0.0588,0.69117,False,,threonine synthase,Other / unassigned,0.4051142835836499,True
GF_00079,291,291,17,17,0.0584,0.69686,False,,TRC40/GET3/ArsA family transport-energizing ATPase,Transport,0.2510867595183579,True
GF_00935,90,86,5,5,0.0581,0.73211,False,,sodium-dependent bicarbonate transport family permease,Transport,0.5101982774128901,True
GF_01817,105,104,7,6,0.0577,0.6084,False,minD,septum site-determining protein MinD,Other / unassigned,0.4846603013405332,True
GF_01656,52,52,3,3,0.0577,0.66094,False,moaC,cyclic pyranopterin monophosphate synthase MoaC,Other / unassigned,0.539487101503109,True
GF_00693,105,105,6,6,0.0571,0.71571,False,,B12-binding domain-containing radical SAM protein,Other / unassigned,0.4639343408694678,True
GF_00331,194,194,11,11,0.0567,0.73596,False,psbC,photosystem II reaction center protein CP43,Housekeeping / lineage marker,0.6059044156959424,True
GF_00855,196,196,11,11,0.0561,0.73589,False,prfC,peptide chain release factor 3,Other / unassigned,0.4443988852979957,True
GF_00040,108,108,6,6,0.0556,0.71553,False,,glutamyl-tRNA(Gln) amidotransferase subunit A,Other / unassigned,0.3607270147107563,True
GF_00058,73,73,4,4,0.0548,0.7531,False,,hypothetical protein,Stress / membrane / uncharacterized,0.2557562458484794,True
GF_00866,73,73,4,4,0.0548,0.7531,False,gltD,glutamate synthase small subunit,Other / unassigned,0.7477031700329946,True
GF_00136,129,129,7,7,0.0543,0.70192,False,,hypothetical protein,Stress / membrane / uncharacterized,0.592490937849467,True
GF_02332,295,295,16,16,0.0542,0.75688,False,,photosystem II reaction center protein K,Housekeeping / lineage marker,0.7123633460731541,True
GF_02118,148,148,8,8,0.0541,0.76669,False,,AAA family ATPase,Other / unassigned,0.3888398389340369,True
GF_00867,204,204,11,11,0.0539,0.73563,False,miaB,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,Other / unassigned,0.3487454641629894,True
GF_01604,130,130,7,7,0.0538,0.70188,False,queF,preQ(1) synthase,Other / unassigned,0.5980665338346816,True
GF_00498,57,56,3,3,0.0536,0.7809,False,,B12-binding domain-containing radical SAM protein,Other / unassigned,0.3311794436801027,True
GF_00606,75,75,4,4,0.0533,0.75291,False,gltB,glutamate synthase large subunit,Other / unassigned,0.746416175813573,True
GF_01657,169,169,9,9,0.0533,0.75492,False,cysK,cysteine synthase A,Other / unassigned,0.7830911564627547,True
GF_00996,170,170,9,9,0.0529,0.75488,False,leuB,3-isopropylmalate dehydrogenase,Other / unassigned,0.5244339415382591,True
GF_00266,57,57,3,3,0.0526,0.7809,False,acpP,acyl carrier protein,Other / unassigned,0.7855537380561989,True
GF_00240,95,95,5,5,0.0526,0.73175,False,groL,chaperonin GroEL,Other / unassigned,0.6196394562549727,True
GF_01858,60,57,3,3,0.0526,0.78051,False,,hypothetical protein,Stress / membrane / uncharacterized,0.6617083036133468,True
GF_01923,96,96,5,5,0.0521,0.73168,False,,acetyl-CoA carboxylase carboxyltransferase subunit alpha,Other / unassigned,0.3176627089595186,True
GF_01825,235,231,12,12,0.0519,0.78581,False,dxs,1-deoxy-D-xylulose-5-phosphate synthase,Other / unassigned,0.6267339501602043,True
GF_00408,290,290,15,15,0.0517,0.81146,False,ilvC,ketol-acid reductoisomerase,Other / unassigned,0.3548405123881947,True
GF_00620,379,332,17,17,0.0512,0.92385,False,psaB,photosystem I core protein PsaB,Housekeeping / lineage marker,0.3031253418090643,True
GF_01733,138,137,7,7,0.0511,0.77963,False,infC,translation initiation factor IF-3,Other / unassigned,0.5031561642132127,True
GF_02021,59,59,3,3,0.0508,0.78063,False,fmdA,formamidase,Other / unassigned,0.5795079967534682,True
GF_01138,289,277,14,14,0.0505,0.85901,False,nuoK,NADH-quinone oxidoreductase subunit NuoK,Other / unassigned,0.6472566478109401,True
GF_02525,165,139,8,7,0.0504,0.82757,False,trpB,tryptophan synthase subunit beta,Other / unassigned,0.6645170411090608,True
GF_00143,121,119,6,6,0.0504,0.79508,False,,delta(24)-sterol C-methyltransferase,Other / unassigned,0.5320907955573574,True
GF_00450,41,40,2,2,0.05,0.82036,False,,RidA family protein,Other / unassigned,0.4053283626102379,True
GF_02518,60,60,3,3,0.05,0.78051,False,,potassium channel family protein,Other / unassigned,0.2487063706876818,True
GF_01928,263,263,13,13,0.0494,0.82631,False,,DNA-directed RNA polymerase subunit gamma,Housekeeping / lineage marker,0.4261658470719752,True
GF_00662,61,61,3,3,0.0492,0.78039,False,,energy-coupling factor ABC transporter ATP-binding protein,Transport,0.3631702141167062,True
GF_00335,224,224,11,11,0.0491,0.84381,False,thiC,phosphomethylpyrimidine synthase ThiC,Other / unassigned,0.6801437610327882,True
GF_00899,41,41,2,2,0.0488,0.82036,False,carB,carbamoyl-phosphate synthase large subunit,Other / unassigned,0.4442244235991076,True
GF_01647,41,41,2,2,0.0488,0.82036,False,,HigA family addiction module antitoxin,Other / unassigned,0.5414817441040767,True
GF_01135,165,165,8,8,0.0485,0.82757,False,,type IV pilus twitching motility protein PilT,Other / unassigned,0.3475768085770151,True
GF_00668,189,189,9,9,0.0476,0.81523,False,ycf46,stress-responsive protein Ycf46,Other / unassigned,0.4907801506113001,True
GF_01678,126,126,6,6,0.0476,0.79479,False,,photosystem II reaction center protein T,Housekeeping / lineage marker,0.7611238666020927,True
GF_01729,54,42,2,2,0.0476,0.89726,False,,chlorophyll a/b-binding protein,Other / unassigned,0.31840912814776,True
GF_00700,64,64,3,3,0.0469,0.78005,False,,branched-chain amino acid ABC transporter permease,Transport,0.3576827686606477,True
GF_02460,43,43,2,2,0.0465,0.81999,False,,small RNA NsiR4-regulated ssr1528 family protein,Other / unassigned,0.5921024439690213,True
GF_00401,43,43,2,2,0.0465,0.81999,False,,DUF6679 family protein,Stress / membrane / uncharacterized,0.77286196681877,True
GF_02183,172,172,8,8,0.0465,0.82726,False,ilvA,"threonine ammonia-lyase, biosynthetic",Other / unassigned,0.5670642301005404,True
GF_00628,108,108,5,5,0.0463,0.81308,False,eno,phosphopyruvate hydratase,Other / unassigned,0.404186331566098,True
GF_02517,65,65,3,3,0.0462,0.77995,False,,DUF2256 domain-containing protein,Stress / membrane / uncharacterized,0.5322312266529502,True
GF_00739,91,88,4,4,0.0455,0.83508,False,groES,co-chaperone GroES,Other / unassigned,0.5993422137799321,True
GF_00601,44,44,2,2,0.0455,0.81981,False,,chlorophyll a/b binding light-harvesting protein,Other / unassigned,0.7720973638463127,True
GF_00140,89,89,4,4,0.0449,0.83524,False,,adenosine deaminase,Other / unassigned,0.2633644275117589,True
GF_00622,267,267,12,12,0.0449,0.87421,False,,DUF3155 domain-containing protein,Stress / membrane / uncharacterized,0.5555601636776373,True
GF_01962,180,180,8,8,0.0444,0.87525,False,,CTP synthase,Other / unassigned,0.6844420982393922,True
GF_02136,45,45,2,2,0.0444,0.81964,False,,sodium:solute symporter family protein,Other / unassigned,0.6022159794476452,True
GF_00431,209,206,9,9,0.0437,0.90139,False,mnmG,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,Other / unassigned,0.396857997846159,True
GF_02406,115,115,5,5,0.0435,0.81264,False,,homocysteine biosynthesis protein,Other / unassigned,0.5650213257024285,True
GF_00294,46,46,2,2,0.0435,0.81948,False,,UPF0175 family protein,Other / unassigned,0.4795105501965249,True
GF_01955,46,46,2,2,0.0435,0.81948,False,ftsH4,ATP-dependent zinc metalloprotease FtsH4,Housekeeping / lineage marker,0.3684361044822575,True
GF_00336,93,93,4,4,0.043,0.83492,False,gap,type I glyceraldehyde-3-phosphate dehydrogenase,Other / unassigned,0.2737593251608713,True
GF_02412,186,186,8,8,0.043,0.87502,False,psbM,photosystem II reaction center protein PsbM,Housekeeping / lineage marker,0.8260023857709315,True
GF_01908,47,47,2,2,0.0426,0.81933,False,atpB,F0F1 ATP synthase subunit A,Housekeeping / lineage marker,0.2991580286519805,True
GF_00403,47,47,2,2,0.0426,0.81933,False,,YqaE/Pmp3 family membrane protein,Stress / membrane / uncharacterized,0.9290950752359436,True
GF_01952,357,354,15,15,0.0424,0.93373,False,psaA,photosystem I core protein PsaA,Housekeeping / lineage marker,0.3498221407281808,True
GF_02104,142,142,6,6,0.0423,0.85574,False,,photosystem I assembly protein Ycf3,Housekeeping / lineage marker,0.5138046615615758,True
GF_01813,143,143,6,6,0.042,0.85569,False,ndhK,photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit K,Respiration & bioenergetics,0.4662227752001494,True
GF_01128,96,96,4,4,0.0417,0.83471,False,glnA,type I glutamate--ammonia ligase,Other / unassigned,0.6610593327230012,True
GF_00754,72,72,3,3,0.0417,0.86248,False,,phosphoketolase,Other / unassigned,0.1839478670473631,True
GF_00873,288,288,12,12,0.0417,0.93074,False,dnaK,molecular chaperone DnaK,Other / unassigned,0.2065573722423525,True
GF_00505,48,48,2,2,0.0417,0.81919,False,,creatininase family protein,Other / unassigned,0.4997172206361921,True
GF_00124,96,96,4,4,0.0417,0.83471,False,tpiA,triosephosphate isomerase,Other / unassigned,0.1870094379948421,True
GF_01730,120,120,5,5,0.0417,0.87328,False,rpmF,50S ribosomal protein L32,Housekeeping / lineage marker,0.6265732258475106,True
GF_00392,217,217,9,9,0.0415,0.90115,False,ureA,urease subunit gamma,Other / unassigned,0.7048603982155961,True
GF_00629,146,145,6,6,0.0414,0.90134,False,,response regulator transcription factor,Regulation,0.8235328989691585,True
GF_01600,77,73,3,3,0.0411,0.86201,False,,DUF433 domain-containing protein,Stress / membrane / uncharacterized,0.8168915989313084,True
GF_00690,196,196,8,8,0.0408,0.91142,False,argB,acetylglutamate kinase,Other / unassigned,0.512550504189955,True
GF_00809,49,49,2,2,0.0408,0.81905,False,,ferredoxin family protein,O2 protection & redox homeostasis,0.5345105402442915,True
GF_00801,98,98,4,4,0.0408,0.83457,False,aspS,aspartate--tRNA ligase,Housekeeping / lineage marker,0.5171202388212534,True
GF_00001,99,99,4,4,0.0404,0.8345,False,,hypothetical protein,Stress / membrane / uncharacterized,0.421580430843979,True
GF_01507,99,99,4,4,0.0404,0.8345,False,gndA,NADP-dependent phosphogluconate dehydrogenase,Carbon metabolism & NAD(P)H supply,0.8268238310615186,True
GF_00114,446,445,18,18,0.0404,0.96445,False,clpC,ATP-dependent Clp protease ATP-binding subunit ClpC,Other / unassigned,0.0660987660935782,True
GF_01855,50,50,2,2,0.04,0.81891,False,,MSMEG_0572/Sll0783 family nitrogen starvation response protein,Other / unassigned,0.6366920534387996,True
GF_00407,251,251,10,10,0.0398,0.92128,False,,UDP-glucuronic acid decarboxylase family protein,Other / unassigned,0.6538444698763141,True
GF_01919,76,76,3,3,0.0395,0.8621,False,,homospermidine biosynthesis protein,Other / unassigned,0.2880810566758473,True
GF_01735,76,76,3,3,0.0395,0.8621,False,,hypothetical protein,Stress / membrane / uncharacterized,0.3034794161015869,True
GF_02216,127,127,5,5,0.0394,0.8729,False,,citrate synthase,Other / unassigned,0.3854013358497035,True
GF_01236,51,51,2,2,0.0392,0.81878,False,,cupin domain-containing protein,Other / unassigned,0.7082169023684568,True
GF_00494,77,77,3,3,0.039,0.86201,False,,cysteine hydrolase family protein,Other / unassigned,0.4594795691462996,True
GF_01263,206,206,8,8,0.0388,0.91112,False,glyQ,glycine--tRNA ligase subunit alpha,Housekeeping / lineage marker,0.4800866120117327,True
GF_01012,262,258,10,10,0.0388,0.94379,False,,ribose-phosphate pyrophosphokinase,Other / unassigned,0.504045020078174,True
GF_00357,52,52,2,2,0.0385,0.81866,False,,histidine triad nucleotide-binding protein,Other / unassigned,0.2621429818949471,True
GF_01765,159,159,6,6,0.0377,0.90081,False,pdhA,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,Other / unassigned,0.5868268843647045,True
GF_02052,53,53,2,2,0.0377,0.81854,False,,RNA-binding protein,Other / unassigned,0.1752970001193743,True
GF_01675,160,160,6,6,0.0375,0.90077,False,rimO,30S ribosomal protein S12 methylthiotransferase RimO,Housekeeping / lineage marker,0.330926397012059,True
GF_01652,108,107,4,4,0.0374,0.8928,False,nuoH,NADH-quinone oxidoreductase subunit NuoH,Other / unassigned,0.4203037108836649,True
GF_00665,296,295,11,11,0.0373,0.9549,False,rpoB,DNA-directed RNA polymerase subunit beta,Housekeeping / lineage marker,0.5397410363381427,True
GF_02109,161,161,6,6,0.0373,0.90073,False,,chlorophyll a/b-binding protein,Other / unassigned,0.5380613757552745,True
GF_00613,134,134,5,5,0.0373,0.916,False,,acetolactate synthase large subunit,Other / unassigned,0.5449301111393735,True
GF_01090,268,268,10,10,0.0373,0.94369,False,psbB,photosystem II chlorophyll-binding protein CP47,Housekeeping / lineage marker,0.4483348465106248,True
GF_01146,243,243,9,9,0.037,0.95066,False,,cysteine synthase A,Other / unassigned,0.6945107553378356,True
GF_00715,74,54,2,2,0.037,0.94196,False,,RNA recognition motif domain-containing protein,Other / unassigned,0.5219257371494918,True
GF_00799,221,216,8,8,0.037,0.93797,False,hemB,porphobilinogen synthase,Other / unassigned,0.3532861006527414,True
GF_00509,54,54,2,2,0.037,0.89726,False,rpsP,30S ribosomal protein S16,Housekeeping / lineage marker,0.6506050056579764,True
GF_00689,108,108,4,4,0.037,0.8928,False,,YciI family protein,Other / unassigned,0.5692771695641113,True
GF_01951,273,273,10,10,0.0366,0.96045,False,pyrH,UMP kinase,Other / unassigned,0.3234825481945129,True
GF_00631,301,301,11,11,0.0365,0.96821,False,rpe,ribulose-phosphate 3-epimerase,Other / unassigned,0.4680535381280198,True
GF_02519,55,55,2,2,0.0364,0.89714,False,psbX,photosystem II reaction center X protein,Housekeeping / lineage marker,0.2466682651341987,True
GF_01495,282,277,10,10,0.0361,0.96032,False,hemL,"glutamate-1-semialdehyde 2,1-aminomutase",Other / unassigned,0.6445180720364578,True
GF_01514,250,250,9,9,0.036,0.95053,False,,magnesium chelatase subunit H,Other / unassigned,0.5403165502455493,True
GF_01818,56,56,2,2,0.0357,0.89702,False,nusA,transcription termination factor NusA,Regulation,0.6726315930549364,True
GF_01957,56,56,2,2,0.0357,0.89702,False,,TIGR00300 family protein,Other / unassigned,0.4430449494448772,True
GF_01498,282,282,10,10,0.0355,0.96032,False,chlP,geranylgeranyl reductase,Other / unassigned,0.5276466608413994,True
GF_01969,170,170,6,6,0.0353,0.93332,False,recR,recombination mediator RecR,Other / unassigned,0.7305344757976754,True
GF_01960,199,199,7,7,0.0352,0.94692,False,rplS,50S ribosomal protein L19,Housekeeping / lineage marker,0.7598352673923506,True
GF_01932,260,259,9,9,0.0347,0.96586,False,thrS,threonine--tRNA ligase,Housekeeping / lineage marker,0.7533839645322181,True
GF_02167,147,147,5,5,0.034,0.94547,False,,aspartate aminotransferase,Other / unassigned,0.8751459944663351,True
