gene_family,study_id,paper_short,organism,n_unique_source_proteins,source_protein_keys,mapped_wp_accessions,representative_protein_names,evidence_metric_examples,mapping_methods,candidate_set,product,module_bin,fox_status,best_rank,consensus_rank_pct_mean,diazotroph_pct_mean,n_member_genomes,n_member_proteins,nif_or_nitrogenase_audit
GF_00043,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_4647,WP_009543307.1,Pyruvate dehydrogenase E1 component subunit beta,Two-way ANOVA p value nitrate=0.0362520258066007; Two-way ANOVA p value lightordark=0.340687024335865; Two-way ANOVA p value Interaction=0.712397007778859; D-_avgLFQ=27.8388347625732; D+_avgLFQ=28.2153902053833; L-_avgLFQ=28.0274529457092; L+_avgLFQ=28.300039768219; D-_D+(logFC)=-0.3765554428101012; L-_L+(logFC)=-0.27258682250980115,old_locus_tag,Model-Supported,alpha-ketoacid dehydrogenase subunit beta,Other / unassigned,FOX-consistent support function (plausible rediscovery),127.0,0.6427432216905902,0.4192307692307692,260,260,False
GF_00043,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_F3849,WP_012410204.1,AcoB; Pyruvate dehydrogenase (lipoamide),Log2 Ratio (Heterocyst/Filaments)=0.025988419139807033; Variability [%]=14.1427130645186; Peptide Pair Count=4;5 | 24h Log2 Ratio (Het/Fil) (Present study)=0.025988419139807033; Variability [%]=14.1427130645186; Peptide Pair Count=4;5; Steady state Log2 ratio [7]=1.0526824681706837,old_locus_tag,Model-Supported,alpha-ketoacid dehydrogenase subunit beta,Other / unassigned,FOX-consistent support function (plausible rediscovery),127.0,0.6427432216905902,0.4192307692307692,260,260,False
GF_00043,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_2730,WP_013322802.1,ref|YP_003887972.1| transketolase central region [Cyanothece sp. PCC 7822],CT_D0=1.28965469253267; CT_D3=1.135732432; CT_L0=1.27921038560526; CT_L3=1.41499801741561,old_locus_tag,Model-Supported,alpha-ketoacid dehydrogenase subunit beta,Other / unassigned,FOX-consistent support function (plausible rediscovery),127.0,0.6427432216905902,0.4192307692307692,260,260,False
GF_00044,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_3344,WP_009545483.1,Putative CAB/ELIP/HLIP family protein,Two-way ANOVA p value nitrate=1.10324396432592e-09; Two-way ANOVA p value lightordark=0.0807160824480691; Two-way ANOVA p value Interaction=0.960385286308768; D-_avgLFQ=28.0274181365967; D+_avgLFQ=22.5631213188171; L-_avgLFQ=27.390148639679; L+_avgLFQ=21.9588675498962; D-_D+(logFC)=5.464296817779601; L-_L+(logFC)=5.4312810897828,old_locus_tag,Model-Supported,chlorophyll a/b-binding protein,Other / unassigned,Novel/uncertain candidate,56.0,0.7711323763955343,0.3636363636363636,44,44,False
GF_00045,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_0860,WP_008275802.1,Photosystem II reaction center protein H,Two-way ANOVA p value nitrate=0.337367302916423; Two-way ANOVA p value lightordark=0.843700901119305; Two-way ANOVA p value Interaction=0.21430213286677; D-_avgLFQ=30.8654360771179; D+_avgLFQ=30.8132357597351; L-_avgLFQ=30.6797323226929; L+_avgLFQ=31.0663661956787; D-_D+(logFC)=0.05220031738279829; L-_L+(logFC)=-0.38663387298580076,old_locus_tag,,,,,,,,,,
GF_00047,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_0398,WP_011610260.1,Tery_0398 UDP-sulfoquinovose synthase (EC 3.13.1.1) [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=42.66; max=59.55@0h; min=30.8@6h; dynamic_range=28.76,old_locus_tag,Model-Supported,NAD-dependent epimerase/dehydratase family protein,Other / unassigned,Novel/uncertain candidate,130.0,0.6056618819776715,0.462882096069869,229,229,False
GF_00047,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_4571,WP_009543375.1,Sulfolipid biosynthesis protein,Two-way ANOVA p value nitrate=0.00128657086258911; Two-way ANOVA p value lightordark=0.140926564387795; Two-way ANOVA p value Interaction=0.184181343897567; D-_avgLFQ=27.0235857963562; D+_avgLFQ=28.1356639862061; L-_avgLFQ=27.6180820465088; L+_avgLFQ=28.1689648628235; D-_D+(logFC)=-1.1120781898498997; L-_L+(logFC)=-0.5508828163147008,old_locus_tag,Model-Supported,NAD-dependent epimerase/dehydratase family protein,Other / unassigned,Novel/uncertain candidate,130.0,0.6056618819776715,0.462882096069869,229,229,False
GF_00047,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_F2923,WP_012409445.1,WcaG; UDP-glucose 4-epimerase.,Log2 Ratio (Heterocyst/Filaments)=-2.528852764863061; Variability [%]=43.2309597087783; Peptide Pair Count=4;3 | Log2 Ratio (Heterocyst/Filaments)=-2.528852764863061; Variability [%]=43.2309597087783; Peptide Pair Count=4;3,old_locus_tag,Model-Supported,NAD-dependent epimerase/dehydratase family protein,Other / unassigned,Novel/uncertain candidate,130.0,0.6056618819776715,0.462882096069869,229,229,False
GF_00047,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_3819,WP_013323819.1,ref|YP_003889026.1| NAD-dependent epimerase/dehydratase [Cyanothece sp. PCC 7822],CT_D0=1.34397458853267; CT_D3=1.25606785; CT_L0=1.22874102660526; CT_L3=1.29081206241561,old_locus_tag,Model-Supported,NAD-dependent epimerase/dehydratase family protein,Other / unassigned,Novel/uncertain candidate,130.0,0.6056618819776715,0.462882096069869,229,229,False
GF_00048,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_1167,WP_011610914.1,Tery_1167 anti-sigma-factor antagonist [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=9.567; max=17.7@11h; min=3.715@20h; dynamic_range=13.99,old_locus_tag,Model-Supported,anti-sigma factor antagonist,Regulation,Novel/uncertain candidate,112.0,0.6570972886762361,0.7272727272727273,99,99,False
GF_00049,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_1778,WP_011611412.1,Tery_1778 Cytochrome-c oxidase [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=2.83; max=6.043@15h; min=0@1h; dynamic_range=6.043,old_locus_tag,Model-Supported,cytochrome c oxidase subunit I,Respiration & bioenergetics,FOX-consistent support function (plausible rediscovery),192.0,0.5171451355661882,0.6041666666666666,96,96,False
GF_00051,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_4348,WP_011613666.1,Tery_4348 L-threonine synthase (EC 4.2.3.1) [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=22.31; max=37.97@12h; min=12.12@18h; dynamic_range=25.84,old_locus_tag,Model-Supported,threonine synthase,Other / unassigned,Novel/uncertain candidate,164.0,0.3323365231259968,0.4090909090909091,264,264,False
GF_00051,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_2446,WP_009544859.1,Threonine synthase,Two-way ANOVA p value nitrate=6.40985940276849e-05; Two-way ANOVA p value lightordark=0.233416875061419; Two-way ANOVA p value Interaction=0.0137669024113595; D-_avgLFQ=26.7274026870728; D+_avgLFQ=24.2491130828857; L-_avgLFQ=26.272262096405; L+_avgLFQ=25.4060640335083; D-_D+(logFC)=2.4782896041871005; L-_L+(logFC)=0.8661980628967001,old_locus_tag,Model-Supported,threonine synthase,Other / unassigned,Novel/uncertain candidate,164.0,0.3323365231259968,0.4090909090909091,264,264,False
GF_00051,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_R0769,WP_012407541.1,thrC; Threonine synthase,Log2 Ratio (Heterocyst/Filaments)=-3.2837898169782913; Variability [%]=10.119278935337; Peptide Pair Count=1;2 | 24h Log2 Ratio (Het/Fil) (Present study)=-3.2837898169782913; Variability [%]=10.119278935337; Peptide Pair Count=1;2; Steady state Log2 ratio [7]=-1.8787618216113542,old_locus_tag,Model-Supported,threonine synthase,Other / unassigned,Novel/uncertain candidate,164.0,0.3323365231259968,0.4090909090909091,264,264,False
GF_00051,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_1715,WP_013321810.1,ref|YP_003886978.1| threonine synthase [Cyanothece sp. PCC 7822],CT_D0=1.04427946753267; CT_D3=0.67492202; CT_L0=0.905745842605263; CT_L3=2.49464819641561,old_locus_tag,Model-Supported,threonine synthase,Other / unassigned,Novel/uncertain candidate,164.0,0.3323365231259968,0.4090909090909091,264,264,False
GF_00052,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_4693,WP_011613974.1,Tery_4693 trpS tryptophanyl-tRNA synthetase (EC 6.1.1.2) [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=9.588; max=16.6@0h; min=6.637@1h; dynamic_range=9.96,old_locus_tag,,,,,,,,,,
GF_00071,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_2433,WP_008272520.1,Carboxysome shell protein CcmK,Two-way ANOVA p value nitrate=2.80910617719626e-06; Two-way ANOVA p value lightordark=0.748578217194154; Two-way ANOVA p value Interaction=0.693915269291125; D-_avgLFQ=27.6817274093628; D+_avgLFQ=27.2465491294861; L-_avgLFQ=27.6859078407288; L+_avgLFQ=27.2058973312378; D-_D+(logFC)=0.4351782798766983; L-_L+(logFC)=0.48001050949099877,old_locus_tag,,,,,,,,,,
GF_00071,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_1473,WP_013321576.1,ref|YP_003886744.1| microcompartments protein [Cyanothece sp. PCC 7822],CT_D0=1.17107622853267; CT_D3=1.104847257; CT_L0=1.39690532760526; CT_L3=1.44676671441561,old_locus_tag,,,,,,,,,,
GF_00072,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_0013,WP_011609942.1,Tery_0013 arsenite efflux ATP-binding protein ArsA (TC 3.A.4.1.1) [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=18.06; max=25.07@20h; min=11.8@23h; dynamic_range=13.27,old_locus_tag,Model-Supported,TRC40/GET3/ArsA family transport-energizing ATPase,Transport,Novel/uncertain candidate,248.0,0.2635566188197767,0.41796875,256,256,False
GF_00072,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_4475,WP_009543471.1,Putative arsenical pump-driving ATPase,Two-way ANOVA p value nitrate=0.0340582595949047; Two-way ANOVA p value lightordark=0.127577126416067; Two-way ANOVA p value Interaction=0.551255831126292; D-_avgLFQ=25.286657333374; D+_avgLFQ=24.0588970184326; L-_avgLFQ=25.7050714492798; L+_avgLFQ=24.9784107208252; D-_D+(logFC)=1.2277603149413991; L-_L+(logFC)=0.7266607284546005,old_locus_tag,Model-Supported,TRC40/GET3/ArsA family transport-energizing ATPase,Transport,Novel/uncertain candidate,248.0,0.2635566188197767,0.41796875,256,256,False
GF_00073,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_4152,WP_009543769.1,Aspartate--tRNA(Asp/Asn) ligase,Two-way ANOVA p value nitrate=0.0543796934673722; Two-way ANOVA p value lightordark=0.123064508105069; Two-way ANOVA p value Interaction=0.634357735554916; D-_avgLFQ=27.0332436561584; D+_avgLFQ=26.8854670524597; L-_avgLFQ=26.9279980659485; L+_avgLFQ=26.6924843788147; D-_D+(logFC)=0.14777660369870205; L-_L+(logFC)=0.23551368713379972,old_locus_tag,,,,,,,,,,
GF_00074,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_4118,WP_009543802.1,3-oxoacyl-[acyl-carrier-protein] synthase 2,Two-way ANOVA p value nitrate=0.00245716877687673; Two-way ANOVA p value lightordark=0.507481872045355; Two-way ANOVA p value Interaction=0.798885793301697; D-_avgLFQ=25.5361886024475; D+_avgLFQ=24.4722962379456; L-_avgLFQ=25.6464910507202; L+_avgLFQ=24.7185750007629; D-_D+(logFC)=1.0638923645018998; L-_L+(logFC)=0.9279160499573003,old_locus_tag,,,,,,,,,,
GF_00076,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_2696,WP_009544615.1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,Two-way ANOVA p value nitrate=0.0484910279864098; Two-way ANOVA p value lightordark=0.781853285416652; Two-way ANOVA p value Interaction=0.962849560887779; D-_avgLFQ=25.5028290748596; D+_avgLFQ=25.3348832130432; L-_avgLFQ=25.4780688285828; L+_avgLFQ=25.3172435760498; D-_D+(logFC)=0.1679458618164027; L-_L+(logFC)=0.16082525253299806,old_locus_tag,,,,,,,,,,
GF_00076,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_4264,WP_013324245.1,ref|YP_003889457.1| beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ [Cyanothece sp. PCC 7822],CT_D0=1.18976054653267; CT_D3=0.941073985; CT_L0=1.40033328460526; CT_L3=1.58842771041561,old_locus_tag,,,,,,,,,,
GF_00077,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_2295,WP_009545005.1,NADH dehydrogenase subunit 5,Two-way ANOVA p value nitrate=0.0106010403611395; Two-way ANOVA p value lightordark=0.0609854181524187; Two-way ANOVA p value Interaction=0.170297811717444; D-_avgLFQ=26.1200480461121; D+_avgLFQ=26.3383407592773; L-_avgLFQ=25.6280174255371; L+_avgLFQ=26.253436088562; D-_D+(logFC)=-0.2182927131652015; L-_L+(logFC)=-0.6254186630249023,old_locus_tag,,,,,,,,,,
GF_00077,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_5584,WP_013325492.1,ref|YP_003890730.1| proton-translocating NADH-quinone oxidoreductase subunit L [Cyanothece sp. PCC 7822],CT_D0=1.18799242953267; CT_D3=1.360002223; CT_L0=1.48132746560526; CT_L3=1.09027340941561,old_locus_tag,,,,,,,,,,
GF_00078,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_3330,WP_009545495.1,Chaperonin GroEL,Two-way ANOVA p value nitrate=1.35019316101516e-07; Two-way ANOVA p value lightordark=0.412077148122885; Two-way ANOVA p value Interaction=0.429277116405131; D-_avgLFQ=30.5813140869141; D+_avgLFQ=28.0125389099121; L-_avgLFQ=30.2168369293213; L+_avgLFQ=28.0056018829346; D-_D+(logFC)=2.568775177002003; L-_L+(logFC)=2.211235046386701,old_locus_tag,,,,,,,,,,
GF_00078,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_4672,WP_013324620.1,ref|YP_003889853.1| chaperonin GroEL [Cyanothece sp. PCC 7822],CT_D0=1.24719980553267; CT_D3=1.320383117; CT_L0=1.26875176660526; CT_L3=1.28326083841561,old_locus_tag,,,,,,,,,,
GF_00079,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_1246,WP_011610972.1,Tery_1246 Endopeptidase Clp [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=17.34; max=27.03@22h; min=7.984@6h; dynamic_range=19.04,old_locus_tag,Model-Supported,ATP-dependent Clp protease proteolytic subunit,Other / unassigned,Novel/uncertain candidate,118.0,0.7196969696969697,0.2738095238095238,84,84,False
GF_00079,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_1910,WP_009545719.1,ATP-dependent Clp protease proteolytic subunit,Two-way ANOVA p value nitrate=5.03467456314352e-05; Two-way ANOVA p value lightordark=0.0823042645108859; Two-way ANOVA p value Interaction=0.102897854745717; D-_avgLFQ=27.9036021232605; D+_avgLFQ=27.1271176338196; L-_avgLFQ=27.5439014434814; L+_avgLFQ=27.1142997741699; D-_D+(logFC)=0.7764844894409002; L-_L+(logFC)=0.42960166931149857,old_locus_tag,Model-Supported,ATP-dependent Clp protease proteolytic subunit,Other / unassigned,Novel/uncertain candidate,118.0,0.7196969696969697,0.2738095238095238,84,84,False
GF_00079,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_2639,WP_013322712.1,ref|YP_003887882.1| Endopeptidase Clp [Cyanothece sp. PCC 7822],CT_D0=1.17584334453267; CT_D3=1.26251844; CT_L0=1.26075084760526; CT_L3=1.42048289541561,old_locus_tag,Model-Supported,ATP-dependent Clp protease proteolytic subunit,Other / unassigned,Novel/uncertain candidate,118.0,0.7196969696969697,0.2738095238095238,84,84,False
GF_00081,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_1143,WP_011610891.1,Tery_1143 Nucleotidyl transferase [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=7.601; max=12.55@6h; min=0@12h; dynamic_range=12.55,old_locus_tag,Model-Supported,sugar phosphate nucleotidyltransferase,Other / unassigned,Novel/uncertain candidate,54.0,0.5944976076555024,0.4968944099378882,161,161,False
GF_00081,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_0336,WP_009546827.1,UTP--glucose-1-phosphate uridylyltransferase,Two-way ANOVA p value nitrate=0.0214549435098006; Two-way ANOVA p value lightordark=0.0538199366866123; Two-way ANOVA p value Interaction=0.437388205233358; D-_avgLFQ=27.8674912452698; D+_avgLFQ=28.0802893638611; L-_avgLFQ=28.049084186554; L+_avgLFQ=28.1626734733582; D-_D+(logFC)=-0.2127981185913015; L-_L+(logFC)=-0.11358928680419922,old_locus_tag,Model-Supported,sugar phosphate nucleotidyltransferase,Other / unassigned,Novel/uncertain candidate,54.0,0.5944976076555024,0.4968944099378882,161,161,False
GF_00081,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_4338,WP_013324318.1,ref|YP_003889530.1| Nucleotidyl transferase [Cyanothece sp. PCC 7822],CT_D0=1.14834156153267; CT_D3=1.245253665; CT_L0=1.42884046360526; CT_L3=1.29715983741561,old_locus_tag,Model-Supported,sugar phosphate nucleotidyltransferase,Other / unassigned,Novel/uncertain candidate,54.0,0.5944976076555024,0.4968944099378882,161,161,False
GF_00082,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_2122,WP_009546875.1,Elongation factor P,Two-way ANOVA p value nitrate=1.09226721893427e-07; Two-way ANOVA p value lightordark=0.480267653565527; Two-way ANOVA p value Interaction=0.976628283606779; D-_avgLFQ=29.0661487579346; D+_avgLFQ=27.2557415962219; L-_avgLFQ=28.9433245658875; L+_avgLFQ=27.1426057815552; D-_D+(logFC)=1.8104071617126998; L-_L+(logFC)=1.8007187843323003,old_locus_tag,Model-Supported,elongation factor P,Other / unassigned,Novel/uncertain candidate,30.0,0.8568580542264752,0.28,50,50,False
GF_00082,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_4017,WP_013324010.1,ref|YP_003889217.1| translation elongation factor P [Cyanothece sp. PCC 7822],CT_D0=1.07447495753267; CT_D3=0.899534195; CT_L0=1.60540843360526; CT_L3=1.54017794041561,old_locus_tag,Model-Supported,elongation factor P,Other / unassigned,Novel/uncertain candidate,30.0,0.8568580542264752,0.28,50,50,False
GF_00084,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_3280,WP_009548018.1,Aconitate hydratase B,Two-way ANOVA p value nitrate=3.74556348713129e-05; Two-way ANOVA p value lightordark=0.00654216486252964; Two-way ANOVA p value Interaction=0.485767680069104; D-_avgLFQ=28.3958787918091; D+_avgLFQ=29.7008872032166; L-_avgLFQ=27.4658417701721; L+_avgLFQ=29.1051106452942; D-_D+(logFC)=-1.3050084114074991; L-_L+(logFC)=-1.6392688751220987,old_locus_tag,,,,,,,,,,
GF_00084,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_0752,WP_013320889.1,ref|YP_003886054.1| aconitate hydratase 2 [Cyanothece sp. PCC 7822],CT_D0=1.20945816753267; CT_D3=1.034745681; CT_L0=1.33030029760526; CT_L3=1.54509138141561,old_locus_tag,,,,,,,,,,
